List Name,Display Value,Options Value,Query Option,Status
Home States,Alaska,AK,,Enabled
Home States,Colorado,CO,,Enabled
Home States,Oregon,OR,,Enabled
Home States,Rhode Island,RI,,Enabled
Home States,South Dakota,SD,,Enabled
Home States,Texas,TX,,Enabled
Home States,Virginia,VA,,Enabled
Home States,West Virginia,WV,,Enabled
Home States,Wyoming,WY,,Enabled
Home States,Arizona,AZ,,Enabled
Home States,Alabama,AL,,Enabled
Home States,Arkansas,AR,,Enabled
Home States,California,CA,,Enabled
Home States,Conneticut,CT,,Enabled
Home States,Delaware,DE,,Enabled
Home States,Florida,FL,,Enabled
Home States,Georgia,GA,,Enabled
Home States,Idaho,ID,,Enabled
Home States,Illinois,IL,,Enabled
Home States,Iowa,IA,,Enabled
Home States,Kentucky,KY,,Enabled
Home States,Maine,ME,,Enabled
Home States,Massachusetts,MA,,Enabled
Home States,Minnesota,MN,,Enabled
Home States,Missouri,MO,,Enabled
Home States,Montana,MT,,Enabled
Home States,Nevada,NV,,Enabled
Home States,New Jersey,NJ,,Enabled
Home States,New York,NY,,Enabled
Home States,Ohio,OH,,Enabled
Home States,Indiana,IN,,Enabled
Home States,Kansas,KS,,Enabled
Home States,Lousiana,LA,,Enabled
Home States,Maryland,MD,,Enabled
Home States,Michigan,MI,,Enabled
Home States,Hawaii,HI,,Enabled
Home States,Misissippi,MS,,Enabled
Home States,Nebraska,NE,,Enabled
Home States,New Hampshire,NH,,Enabled
Home States,New Mexico,NM,,Enabled
Home States,North Carolina,NC,,Enabled
Home States,North Dakota,ND,,Enabled
Home States,Oklahoma,OK,,Enabled
Home States,Pennsylvania,PA,,Enabled
Home States,South Carolina,SC,,Enabled
Home States,Tennessee,TN,,Enabled
Home States,Utah,UT,,Enabled
Home States,Vermont,VT,,Enabled
Home States,Washington,WA,,Enabled
Home States,Wisconson,WI,,Enabled
